customer_id,first_name,last_name,date_of_birth,gender,join_date,primary_payment,income_bracket,is_active
CUST00001,Danielle,Johnson,1960-03-30,M,2023-02-27,Mastercard,High,1
CUST00002,Joshua,Walker,1965-10-19,M,2022-04-24,Mastercard,Low,1
CUST00003,Jill,Rhodes,1975-11-03,F,2023-01-06,Visa,Low,1
CUST00004,Patricia,Miller,1958-08-01,F,2023-04-04,Debit,Mid,1
CUST00005,Robert,Johnson,1988-03-13,M,2019-07-29,Mastercard,High,1
CUST00006,Jeffery,Wagner,1999-03-21,F,2022-01-03,Mastercard,Low,1
CUST00007,Anthony,Gonzalez,1990-06-12,M,2022-03-28,Mastercard,Mid,1
CUST00008,Debra,Gardner,1978-11-20,M,2023-11-10,Mastercard,Mid,1
CUST00009,Jeffrey,Lawrence,1976-10-18,F,2022-10-04,Mastercard,Mid,1
CUST00010,Lisa,Smith,1979-12-18,M,2019-12-01,Visa,High,1
CUST00011,Linda,Wolfe,1987-02-04,M,2023-09-23,Debit,High,1
CUST00012,Matthew,Moore,1963-12-09,F,2020-03-08,Cash,High,1
CUST00013,Susan,Rogers,1999-03-02,M,2019-10-20,Mastercard,Mid,1
CUST00014,Christopher,Davis,1993-10-31,NB,2021-01-11,Mastercard,Mid,1
CUST00015,Melanie,Munoz,1967-11-02,F,2019-11-10,Visa,Mid,1
CUST00016,Lindsay,Blair,1999-12-29,F,2021-12-19,Mastercard,High,1
CUST00017,Amanda,Dudley,1981-12-09,M,2023-04-24,Visa,Mid,1
CUST00018,Nicholas,Arnold,1981-08-18,M,2024-06-13,Visa,High,0
CUST00019,Maria,Montgomery,1975-11-05,M,2019-11-10,Mastercard,High,0
CUST00020,Michelle,Ray,1987-01-30,F,2021-09-27,Mastercard,High,0
CUST00021,Janet,Williams,1963-03-14,NB,2020-05-08,Cash,Low,1
CUST00022,Jeremy,Roberts,1969-04-13,NB,2019-09-20,Debit,Low,1
CUST00023,Christopher,Hall,1977-01-01,F,2024-03-17,Visa,Low,1
CUST00024,Craig,Ramirez,1991-07-03,M,2021-06-16,Cash,Low,1
CUST00025,Cynthia,Diaz,1978-08-24,M,2022-04-20,Mastercard,Mid,1
CUST00026,Mitchell,Clark,1987-08-24,M,2019-05-26,Visa,Mid,1
CUST00027,Joseph,Zuniga,2000-05-28,F,2020-05-12,Debit,Low,1
CUST00028,Deborah,Lynch,1996-01-01,F,2021-04-21,Visa,Mid,0
CUST00029,George,Daniel,1994-02-14,F,2023-01-31,Mastercard,Low,1
CUST00030,Frank,Gray,1995-11-07,M,2020-01-11,Mastercard,High,1
CUST00031,Veronica,Bowman,1966-10-14,F,2019-04-14,Debit,Low,1
CUST00032,Angela,Cohen,1979-03-17,F,2019-12-07,Mastercard,High,0
CUST00033,Megan,Parsons,1958-03-12,F,2021-03-10,Mastercard,Mid,1
CUST00034,Jeremy,Johnson,2001-08-30,M,2019-11-14,Mastercard,Low,1
CUST00035,Leslie,Adams,1986-02-19,F,2019-04-28,Mastercard,High,1
CUST00036,Jason,Hahn,1965-03-10,F,2023-10-10,Mastercard,Mid,1
CUST00037,Nancy,Edwards,1980-02-02,F,2022-03-31,Visa,Mid,1
CUST00038,Diana,Foster,1981-05-24,M,2020-02-23,Debit,Mid,1
CUST00039,Robin,Ellis,1999-01-08,F,2020-10-09,Cash,Low,1
CUST00040,Joseph,Wright,1966-12-21,F,2019-05-31,Visa,Low,1
CUST00041,Anna,Baker,1979-12-01,M,2021-01-26,Mastercard,Mid,1
CUST00042,Brenda,Hurst,1958-09-14,M,2022-09-29,Debit,Mid,0
CUST00043,Reginald,Robinson,1968-05-10,F,2023-12-28,Mastercard,Mid,1
CUST00044,Whitney,Hicks,1976-04-07,M,2022-11-08,Visa,Mid,0
CUST00045,Christopher,Williams,1966-04-13,M,2022-07-23,Mastercard,Low,1
CUST00046,Daniel,Burton,1981-07-02,F,2019-11-27,Debit,Mid,1
CUST00047,Laura,Henderson,1971-05-17,M,2022-01-22,Mastercard,Mid,1
CUST00048,Bryan,James,1990-09-18,NB,2024-01-16,Cash,Low,1
CUST00049,Wendy,Rice,1967-03-23,F,2020-12-25,Debit,Mid,1
CUST00050,Tasha,Valencia,1979-03-29,F,2023-11-06,Mastercard,Low,1
CUST00051,Alexander,Le,1987-10-21,F,2023-05-22,Cash,High,1
CUST00052,Erin,Herrera,1967-09-13,F,2021-02-22,Cash,Low,1
CUST00053,Joseph,Davidson,1985-05-19,M,2023-08-08,Debit,Low,1
CUST00054,Daniel,Graham,1964-03-24,M,2024-06-03,Debit,Mid,1
CUST00055,Shawn,Mckay,1987-09-17,F,2024-04-07,Mastercard,Mid,1
CUST00056,Nancy,Baker,1961-06-07,M,2019-08-11,Visa,High,1
CUST00057,Vincent,White,1968-05-17,M,2021-02-27,Cash,Low,1
CUST00058,Rita,Harrell,1975-09-05,NB,2021-01-15,Mastercard,High,1
CUST00059,Kenneth,Fowler,1969-03-07,F,2023-01-14,Cash,Mid,1
CUST00060,Chelsea,Hernandez,1969-06-02,NB,2020-01-28,Mastercard,Mid,0
CUST00061,Kathryn,Ryan,1984-12-31,M,2021-04-11,Visa,Mid,1
CUST00062,Kimberly,Moreno,1986-11-29,F,2021-08-10,Mastercard,Mid,1
CUST00063,Aaron,Nguyen,1973-03-23,F,2022-09-11,Mastercard,Mid,1
CUST00064,Andrew,Hickman,1979-01-27,F,2022-10-09,Mastercard,Low,1
CUST00065,Natasha,Decker,1964-07-14,F,2021-07-21,Mastercard,Low,1
CUST00066,Kyle,Brown,1979-11-21,M,2019-10-30,Debit,High,1
CUST00067,Natalie,Arroyo,1996-02-22,NB,2020-03-24,Mastercard,Mid,1
CUST00068,Christopher,Tucker,1968-11-20,M,2021-07-23,Mastercard,Mid,1
CUST00069,Chad,Hodges,1997-09-15,F,2022-06-08,Debit,Mid,0
CUST00070,Katie,Anderson,1972-04-12,M,2023-03-04,Cash,High,0
CUST00071,Thomas,Pierce,2001-06-23,M,2022-07-07,Mastercard,High,1
CUST00072,Joseph,Brennan,1965-03-25,M,2019-10-11,Mastercard,Low,1
CUST00073,Rodney,Lewis,1987-09-08,M,2022-01-16,Visa,High,1
CUST00074,Amber,Blair,1959-10-03,F,2023-10-21,Cash,Mid,0
CUST00075,James,Collins,1992-12-27,F,2023-10-14,Cash,Mid,1
CUST00076,Wanda,Santos,1977-10-14,M,2021-09-26,Mastercard,Low,1
CUST00077,Samuel,Holmes,1994-04-10,M,2023-01-23,Mastercard,Low,1
CUST00078,David,Walker,1993-05-08,M,2022-04-27,Visa,Mid,1
CUST00079,Matthew,Chapman,1962-07-06,M,2020-06-16,Mastercard,Mid,1
CUST00080,Jerry,Robinson,1995-10-27,F,2020-05-31,Debit,High,1
